title,price,rating,reviews,availability
Xbox Series X – Forza Horizon 5 Bundle,$536.64,4.7 out of 5 stars,433 ratings,Only 1 left in stock - order soon
"Microsoft FMQ-00042 Console, 18.5"" x 12"" x 5"", Black",$349.99,4.5 out of 5 stars,5 ratings,Only 1 left in stock - order soon
Xbox Series S - Holiday Console,,4.8 out of 5 stars,"2,597 ratings",Not Available
XBOX Console,,4.2 out of 5 stars,"1,062 ratings",Only 1 left in stock - order soon
Xbox Series S 512GB All Digital Holiday Console,,4.4 out of 5 stars,2 ratings,Not Available
Microsoft Xbox Series S Console - 512GB (Renewed),$239.99,4.5 out of 5 stars,848 ratings,Not Available
"Microsoft Original Xbox Console with Controller, Power Supply, and AV Cable,Black",$182.62,3.8 out of 5 stars,472 ratings,Only 2 left in stock - order soon
Xbox One X 1TB Console With Wireless Controller,$379.97,4.5 out of 5 stars,116 ratings,Only 1 left in stock - order soon
Xbox 360 Core Console Video Game System,$123.12,4.7 out of 5 stars,156 ratings,Only 16 left in stock - order soon
Microsoft Xbox Console,$149.94,3.8 out of 5 stars,397 ratings,Only 1 left in stock - order soon
Xbox One 500GB Console ONLY WHITE v2 Model 1540 XB1 5C9-00021 Gaming System 4K (Refurbished),,3.8 out of 5 stars,23 ratings,
Halo Special Edition Xbox Game System [Xbox],$409.40,4.1 out of 5 stars,65 ratings,Only 1 left in stock - order soon
Microsoft Xbox 360 Slim System w/320GB HDD HDMI Port & Optical Audio - Unit Only,$160.30,4.5 out of 5 stars,11 ratings,Only 1 left in stock - order soon
"Xbox Series S - Bonus content featuring Fortnite, Rocket League, Fall Guys",$235.34,4.7 out of 5 stars,811 ratings,Only 1 left in stock - order soon
Xbox Series X,,4.5 out of 5 stars,"21,035 ratings",
Xbox Series S & Star Wars Jedi: Survivor - Standard [Digital Code],$334.98,4.4 out of 5 stars,"27,367 ratings",Not Available
